instance_id,algorithm,seed,reported_cost,eval_distance,eval_num_routes,eval_penalty,eval_penalized_cost,reported_minus_eval,feasible_capacity,feasible_coverage,feasible_fleet,lower_bound_vehicles,vehicles_allowed,runtime_seconds,converged_iteration
instance_n50,V2_fleet_bounded_split,8,3170935.1728515625,170935.1728515625,11,3000000.0,3170935.1728515625,0.0,True,True,False,10,8,3.830364942550659,99
instance_n50,V2_fleet_bounded_split,9,3160283.0056152344,160283.00561523438,11,3000000.0,3160283.0056152344,0.0,True,True,False,10,8,3.0927066802978516,99
instance_n50,V2_fleet_bounded_split,10,3173031.5185546875,173031.5185546875,11,3000000.0,3173031.5185546875,0.0,True,True,False,10,8,2.823312997817993,99
instance_n50,V3_local_search_baldwinian,1,3163158.8002929688,163158.80029296875,11,3000000.0,3163158.8002929688,0.0,True,True,False,10,8,4.320964097976685,10
instance_n50,V3_local_search_baldwinian,2,3164726.306640625,164726.306640625,11,3000000.0,3164726.306640625,0.0,True,True,False,10,8,4.023011684417725,5
instance_n50,V3_local_search_baldwinian,3,3165695.0249023438,165695.02490234375,11,3000000.0,3165695.0249023438,0.0,True,True,False,10,8,3.889824867248535,10
instance_n50,V3_local_search_baldwinian,4,3159396.0349121094,159396.03491210938,11,3000000.0,3159396.0349121094,0.0,True,True,False,10,8,4.178563117980957,10
instance_n50,V3_local_search_baldwinian,5,3161479.8393554688,161479.83935546875,11,3000000.0,3161479.8393554688,0.0,True,True,False,10,8,4.121893644332886,10
instance_n50,V3_local_search_baldwinian,6,3166933.0810546875,166933.0810546875,11,3000000.0,3166933.0810546875,0.0,True,True,False,10,8,4.107194423675537,10
instance_n50,V3_local_search_baldwinian,7,3158819.6616210938,158819.66162109375,11,3000000.0,3158819.6616210938,0.0,True,True,False,10,8,3.7861931324005127,10
instance_n50,V3_local_search_baldwinian,8,3169460.900390625,169460.900390625,11,3000000.0,3169460.900390625,0.0,True,True,False,10,8,3.921091079711914,10
instance_n50,V3_local_search_baldwinian,9,3155652.376953125,155652.376953125,11,3000000.0,3155652.376953125,0.0,True,True,False,10,8,4.563422203063965,10
instance_n50,V3_local_search_baldwinian,10,3154719.2939453125,154719.2939453125,11,3000000.0,3154719.2939453125,0.0,True,True,False,10,8,4.277871131896973,15
instance_n50,V4_lamarckian_writeback,1,3163158.8002929688,163158.80029296875,11,3000000.0,3163158.8002929688,0.0,True,True,False,10,8,4.1966774463653564,10
instance_n50,V4_lamarckian_writeback,2,3164726.306640625,164726.306640625,11,3000000.0,3164726.306640625,0.0,True,True,False,10,8,4.1709675788879395,5
instance_n50,V4_lamarckian_writeback,3,3165695.0249023438,165695.02490234375,11,3000000.0,3165695.0249023438,0.0,True,True,False,10,8,3.4867398738861084,10
instance_n50,V4_lamarckian_writeback,4,3159396.0349121094,159396.03491210938,11,3000000.0,3159396.0349121094,0.0,True,True,False,10,8,3.838839054107666,10
instance_n50,V4_lamarckian_writeback,5,3161479.8393554688,161479.83935546875,11,3000000.0,3161479.8393554688,0.0,True,True,False,10,8,3.3340487480163574,10
instance_n50,V4_lamarckian_writeback,6,3166933.0810546875,166933.0810546875,11,3000000.0,3166933.0810546875,0.0,True,True,False,10,8,3.418525457382202,10
instance_n50,V4_lamarckian_writeback,7,3158819.6616210938,158819.66162109375,11,3000000.0,3158819.6616210938,0.0,True,True,False,10,8,4.10849404335022,10
instance_n50,V4_lamarckian_writeback,8,3169460.900390625,169460.900390625,11,3000000.0,3169460.900390625,0.0,True,True,False,10,8,3.7172577381134033,10
instance_n50,V4_lamarckian_writeback,9,3155652.376953125,155652.376953125,11,3000000.0,3155652.376953125,0.0,True,True,False,10,8,3.461134195327759,10
instance_n50,V4_lamarckian_writeback,10,3154719.2939453125,154719.2939453125,11,3000000.0,3154719.2939453125,0.0,True,True,False,10,8,3.3008882999420166,15
instance_n50,V5_full_solver,1,2202862.15234375,202862.15234375,10,2000000.0,2202862.15234375,0.0,True,True,False,10,8,2.72465181350708,0
instance_n50,V5_full_solver,2,2202862.15234375,202862.15234375,10,2000000.0,2202862.15234375,0.0,True,True,False,10,8,2.5883004665374756,0
instance_n50,V5_full_solver,3,2202862.15234375,202862.15234375,10,2000000.0,2202862.15234375,0.0,True,True,False,10,8,2.5381720066070557,0
instance_n50,V5_full_solver,4,2202862.15234375,202862.15234375,10,2000000.0,2202862.15234375,0.0,True,True,False,10,8,2.543426752090454,0
instance_n50,V5_full_solver,5,2202862.15234375,202862.15234375,10,2000000.0,2202862.15234375,0.0,True,True,False,10,8,2.7447760105133057,0
instance_n50,V5_full_solver,6,2202862.15234375,202862.15234375,10,2000000.0,2202862.15234375,0.0,True,True,False,10,8,2.581150531768799,0
instance_n50,V5_full_solver,7,2202862.15234375,202862.15234375,10,2000000.0,2202862.15234375,0.0,True,True,False,10,8,2.90043044090271,0
instance_n50,V5_full_solver,8,2202862.15234375,202862.15234375,10,2000000.0,2202862.15234375,0.0,True,True,False,10,8,2.7344577312469482,0
instance_n50,V5_full_solver,9,2202862.15234375,202862.15234375,10,2000000.0,2202862.15234375,0.0,True,True,False,10,8,2.7813282012939453,0
instance_n50,V5_full_solver,10,2202862.15234375,202862.15234375,10,2000000.0,2202862.15234375,0.0,True,True,False,10,8,3.004004955291748,0
instance_n50,V6_inter_route_2opt_star,1,2187720.08203125,187720.08203125,10,2000000.0,2187720.08203125,0.0,True,True,False,10,8,3.850902795791626,10
instance_n50,V6_inter_route_2opt_star,2,2187720.08203125,187720.08203125,10,2000000.0,2187720.08203125,0.0,True,True,False,10,8,3.6293587684631348,10
instance_n50,V6_inter_route_2opt_star,3,2187720.08203125,187720.08203125,10,2000000.0,2187720.08203125,0.0,True,True,False,10,8,3.4956459999084473,10
instance_n50,V6_inter_route_2opt_star,4,2187720.08203125,187720.08203125,10,2000000.0,2187720.08203125,0.0,True,True,False,10,8,3.6594316959381104,10
