instance_id,algorithm,seed,total_cost,runtime_seconds,converged_iteration
instance_n50,Nearest Neighbor,3,3184609.0224609375,0.001087188720703125,0
instance_n50,Nearest Neighbor,4,3184609.0224609375,0.001087188720703125,0
instance_n50,Nearest Neighbor,5,3184609.0224609375,0.001087188720703125,0
instance_n50,Nearest Neighbor,6,3184609.0224609375,0.001087188720703125,0
instance_n50,Nearest Neighbor,7,3184609.0224609375,0.001087188720703125,0
instance_n50,Nearest Neighbor,8,3184609.0224609375,0.001087188720703125,0
instance_n50,Nearest Neighbor,9,3184609.0224609375,0.001087188720703125,0
instance_n50,Nearest Neighbor,10,3184609.0224609375,0.001087188720703125,0
instance_n50,Clarke-Wright,1,3149027.943359375,0.00854349136352539,0
instance_n50,Clarke-Wright,2,3149027.943359375,0.00854349136352539,0
instance_n50,Clarke-Wright,3,3149027.943359375,0.00854349136352539,0
instance_n50,Clarke-Wright,4,3149027.943359375,0.00854349136352539,0
instance_n50,Clarke-Wright,5,3149027.943359375,0.00854349136352539,0
instance_n50,Clarke-Wright,6,3149027.943359375,0.00854349136352539,0
instance_n50,Clarke-Wright,7,3149027.943359375,0.00854349136352539,0
instance_n50,Clarke-Wright,8,3149027.943359375,0.00854349136352539,0
instance_n50,Clarke-Wright,9,3149027.943359375,0.00854349136352539,0
instance_n50,Clarke-Wright,10,3149027.943359375,0.00854349136352539,0
instance_n50,Standard PSO,1,3220728.091796875,0.27747082710266113,94
instance_n50,Standard PSO,2,3216641.30859375,0.24111127853393555,73
instance_n50,Standard PSO,3,3216005.44921875,0.24065732955932617,84
instance_n50,Standard PSO,4,3225900.705078125,0.25727295875549316,81
instance_n50,Standard PSO,5,3218797.4423828125,0.26577305793762207,90
instance_n50,Standard PSO,6,3205663.12109375,0.263808012008667,92
instance_n50,Standard PSO,7,3208341.998046875,0.2914440631866455,91
instance_n50,Standard PSO,8,3207013.271484375,0.24650287628173828,94
instance_n50,Standard PSO,9,3220190.220703125,0.24588799476623535,79
instance_n50,Standard PSO,10,3200728.96484375,0.5636093616485596,91
instance_n50,QPSO,1,3226495.1650390625,1.0961720943450928,57
instance_n50,QPSO,2,3229407.3798828125,1.0360426902770996,98
instance_n50,QPSO,3,3223626.7705078125,1.0407450199127197,41
instance_n50,QPSO,4,3218245.564453125,1.0988640785217285,62
instance_n50,QPSO,5,3225854.5234375,1.3411674499511719,37
instance_n50,QPSO,6,3228457.2045898438,1.1676077842712402,32
instance_n50,QPSO,7,3220408.9365234375,1.3269951343536377,50
instance_n50,QPSO,8,3226960.646484375,1.2356128692626953,65
instance_n50,QPSO,9,3229793.91015625,1.1498150825500488,33
instance_n50,QPSO,10,3222083.615234375,1.0327911376953125,50
instance_n50,Genetic Algorithm,1,185912.7451171875,1.4728443622589111,99
instance_n50,Genetic Algorithm,2,184178.0048828125,1.4611759185791016,99
instance_n50,Genetic Algorithm,3,190749.435546875,1.5067861080169678,99
instance_n50,Genetic Algorithm,4,199003.4853515625,1.4935555458068848,99
instance_n50,Genetic Algorithm,5,193505.0654296875,1.4632675647735596,99
instance_n50,Genetic Algorithm,6,194707.40380859375,1.5445733070373535,99
instance_n50,Genetic Algorithm,7,188346.01708984375,1.5062077045440674,99
instance_n50,Genetic Algorithm,8,186081.8818359375,1.507826566696167,99
instance_n50,Genetic Algorithm,9,189983.4130859375,1.49782395362854,99
instance_n50,Genetic Algorithm,10,193599.60546875,1.5125043392181396,99
instance_n50,Ant Colony (MMAS),1,2172525.23828125,13.901864290237427,88
instance_n50,Ant Colony (MMAS),2,2157129.3525390625,13.624773502349854,96
instance_n50,Ant Colony (MMAS),3,2168778.556640625,14.185752630233765,43
instance_n50,Ant Colony (MMAS),4,2170666.5576171875,13.672427892684937,95
instance_n50,Ant Colony (MMAS),5,2162365.537109375,13.657930612564087,73
instance_n50,Ant Colony (MMAS),6,2162006.2880859375,15.073277950286865,80
instance_n50,Ant Colony (MMAS),7,2188065.6865234375,10.175949811935425,85
instance_n50,Ant Colony (MMAS),8,2168332.5791015625,4.389584541320801,94
instance_n50,Ant Colony (MMAS),9,2164726.6826171875,3.9727487564086914,87
instance_n50,Ant Colony (MMAS),10,2178888.5,4.121959686279297,91
